day,station_id,station_name,latitude,longitude,aggregated_value
2017-01-02,S900,Seletar Aerospace View,1.41284,103.86922,41.600000000000016
2017-01-02,S122,Sembawang Road,1.41731,103.8249,26.8
2017-01-02,S110,Serangoon North Avenue 4,1.36061,103.8697,14.399999999999995
2017-01-02,S46,Sime Road,1.3416,103.8106,6.800000000000002
2017-01-02,S84,Simei Avenue,1.3437,103.9444,0.0
2017-01-02,S79,Somerset Road,1.3004,103.8372,1.4
2017-01-02,S92,South Buona Vista Road,1.2841,103.7886,1.2
2017-01-02,S96,Tanah Merah Coast Road,1.3175,104.0307,1.2
2017-01-02,S88,Toa Payoh North,1.3427,103.8482,5.4
2017-01-02,S123,Towner Road,1.3214,103.8577,11.399999999999997
2017-01-02,S89,Tuas Road,1.31985,103.66162,13.2
2017-01-02,S115,Tuas South Avenue 3,1.29377,103.61843,22.399999999999995
2017-01-02,S24B,Upper Changi Road North,1.3678,103.998,0.0
2017-01-02,S24,Upper Changi Road North,1.3678,103.9826,0.0
2017-01-02,S69,Upper Peirce Reservoir Park,1.37,103.805,46.199999999999996
2017-01-02,S36,Upper Serangoon Road,1.3382,103.8657,6.400000000000001
2017-01-02,S08,Upper Thomson Road,1.3701,103.8271,5.2
2017-01-02,S116,West Coast Highway,1.281,103.754,0.8
2017-01-02,S104,Woodlands Avenue 9,1.44387,103.78538,47.199999999999996
2017-01-02,S100,Woodlands Road,1.4172,103.74855,11.600000000000005
2017-01-02,S91,Yishun Avenue 5,1.4301,103.8308,49.60000000000001
2017-01-02,S102,Semakau Landfill,1.189,103.768,1.0
2017-01-02,S118,Handy Road,1.2994,103.8461,0.8
2017-01-03,S77,Alexandra Road,1.2937,103.8125,13.0
2017-01-03,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,0.2
2017-01-03,S117,Banyan Road,1.256,103.679,0.2
2017-01-03,S55,Buangkok Green,1.3837,103.886,0.4
2017-01-03,S64,Bukit Panjang Road,1.3824,103.7603,0.4
2017-01-03,S90,Bukit Timah Road,1.3191,103.8191,2.4000000000000004
2017-01-03,S61,Chai Chee Street,1.323,103.9217,2.4000000000000004
2017-01-03,S114,Choa Chu Kang Avenue 4,1.38,103.73,0.0
2017-01-03,S11,Choa Chu Kang Road,1.3746,103.6938,2.4
2017-01-03,S50,Clementi Road,1.3337,103.7768,0.0
2017-01-03,S101,Corporation Road,1.35053,103.7134,0.0
2017-01-03,S107,East Coast Parkway,1.3135,103.9625,3.800000000000001
2017-01-03,S118,Handy Road,1.2994,103.8461,4.4
2017-01-03,S120,Holland Road,1.30874,103.818,5.599999999999999
2017-01-03,S63,International Road,1.3275,103.7042,0.2
2017-01-03,S33,Jurong Pier Road,1.3081,103.71,0.0
2017-01-03,S71,Kent Ridge Road,1.2923,103.7815,1.9999999999999998
2017-01-03,S43,Kim Chuan Road,1.3399,103.8878,0.8
2017-01-03,S66,Kranji Way,1.4387,103.7363,0.0
2017-01-03,S112,Lim Chu Kang Road,1.43854,103.70131,0.2
2017-01-03,S07,Lornie Road,1.3415,103.8334,0.2
2017-01-03,S40,Mandai Lake Road,1.4044,103.78962,0.2
2017-01-03,S108,Marina Gardens Drive,1.2799,103.8703,17.6
2017-01-03,S113,Marine Parade Road,1.30655,103.91074,6.000000000000001
2017-01-03,S44,Nanyang Avenue,1.34583,103.68166,0.2
2017-01-03,S119,Nicoll Highway,1.30105,103.8666,15.6
2017-01-03,S121,Old Choa Chu Kang Road,1.37288,103.72244,0.0
2017-01-03,S35,Old Toh Tuck Road,1.3329,103.7556,0.0
2017-01-03,S29,Pasir Ris Drive 12,1.387,103.935,0.4
2017-01-03,S94,Pasir Ris Street 51,1.3662,103.9528,0.4
2017-01-03,S78,Poole Road,1.30703,103.89067,8.000000000000002
2017-01-03,S106,Pulau Ubin,1.4168,103.9673,2.2
2017-01-03,S81,Punggol Central,1.4029,103.9092,0.0
2017-01-03,S06,S06,1.3524,103.9007,0.2
2017-01-03,S900,Seletar Aerospace View,1.41284,103.86922,1.4000000000000001
2017-01-03,S102,Semakau Landfill,1.189,103.768,0.0
2017-01-03,S122,Sembawang Road,1.41731,103.8249,0.0
2017-01-03,S110,Serangoon North Avenue 4,1.36061,103.8697,0.2
2017-01-03,S46,Sime Road,1.3416,103.8106,0.0
2017-01-03,S84,Simei Avenue,1.3437,103.9444,2.1999999999999997
2017-01-03,S79,Somerset Road,1.3004,103.8372,14.399999999999999
2017-01-03,S92,South Buona Vista Road,1.2841,103.7886,9.599999999999998
2017-01-03,S96,Tanah Merah Coast Road,1.3175,104.0307,0.0
2017-01-03,S88,Toa Payoh North,1.3427,103.8482,1.0
2017-01-03,S123,Towner Road,1.3214,103.8577,4.200000000000001
2017-01-03,S89,Tuas Road,1.31985,103.66162,0.0
2017-01-03,S115,Tuas South Avenue 3,1.29377,103.61843,0.6000000000000001
